miRNA,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
pme-miR-92a-1-5p,29.3963,-0.5203,0.314858,-1.6526,0.098409015,0.198063715
pme-let-7f-5p,6442.9736,0.1643,0.100683,1.6315,0.102787035,0.205574071
pme-miR-10c-3p,3.6107,-1.3832,0.852897,-1.6218,0.104847406,0.206951422
pme-let-7h-1-3p,66.3436,0.3063,0.189154,1.6195,0.105347388,0.206951422
pme-let-7c-2-5p,4984.0296,-0.3147,0.194705,-1.6164,0.106000507,0.206951422
pme-miR-148a-5p,932.1188,0.3586,0.221917,1.6161,0.106078874,0.206951422
pme-miR-7132a-3p,278.4593,-0.2899,0.181769,-1.5948,0.110753536,0.214753807
pme-miR-222c-5p,394.8260,-0.2439,0.153314,-1.5908,0.111657223,0.215193921
pme-let-7d-5p,22514.7214,0.3024,0.191655,1.5779,0.114593077,0.219521678
pme-miR-199-5p,33087.8830,0.1558,0.099617,1.5641,0.117793536,0.224301464
pme-miR-181b-3-3p,11.8446,0.6121,0.393286,1.5565,0.119594745,0.226375767
pme-miR-221-3p,12262.9948,-0.2336,0.150593,-1.5515,0.120793012,0.227290993
pme-miR-9-1/2/3/5/6-3p,11.9014,-0.7418,0.479297,-1.5476,0.121723411,0.227694381
pme-miR-2188-3p,1716.2074,0.3109,0.207960,1.4951,0.134880764,0.250830895
pme-miR-214a-5p,2286.9127,0.1918,0.130073,1.4742,0.140429494,0.259158809
pme-miR-551a-3p,33.8296,-0.4770,0.324001,-1.4721,0.140988912,0.259158809
pme-miR-10d-5p,3663.9974,-0.4516,0.307830,-1.4670,0.142365938,0.259851105
pme-miR-146a-5p,55484.3437,-0.3115,0.212696,-1.4647,0.142999822,0.259851105
pme-miR-130c-2-5p,15.0187,0.5012,0.343025,1.4612,0.143957328,0.260104717
pme-miR-19a-1-5p,159.1239,0.3530,0.247320,1.4275,0.153445886,0.27568244
pme-miR-15c-5p,13532.5181,-0.1756,0.124237,-1.4132,0.157607763,0.281568925
pme-miR-181a-1/2-3p,5057.2389,0.1284,0.091574,1.4016,0.161019802,0.286057526
pme-miR-16c-5p,18867.7082,-0.1497,0.108650,-1.3780,0.168203828,0.296284468
pme-let-7i-1-3p,16.4488,0.4616,0.335296,1.3766,0.168639902,0.296284468
pme-miR-20b-5p,7.5277,-0.7029,0.518331,-1.3560,0.17508962,0.305925819
pme-miR-727-3p,20.2630,-0.4866,0.362208,-1.3435,0.17910728,0.311235601
pme-miR-7132b-5p,894.3993,-0.2070,0.154746,-1.3376,0.18103539,0.311382043
pme-miR-2184-5p,14152.5328,0.2378,0.177812,1.3372,0.181149931,0.311382043
