miRNA,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
pme-miR-17a-1-3p,13.3542,0.0374,0.352528,0.1062,0.9154631,0.948264709
pme-miR-218a-5p,1040.5211,0.0148,0.161894,0.0915,0.927104303,0.95548357
pme-miR-17a-2-3p,9.9865,0.0379,0.437814,0.0865,0.931039407,0.95548357
pme-miR-125b-2-3p,49.8031,-0.0231,0.268019,-0.0860,0.931446248,0.95548357
pme-miR-181a-5p,632343.8865,-0.0071,0.095182,-0.0748,0.940383062,0.960633857
pme-miR-10545-5p,15.7158,-0.0259,0.359696,-0.0721,0.94250869,0.960633857
pme-miR-20a-2-3p,98.8376,-0.0095,0.155487,-0.0614,0.951069711,0.966262517
pme-miR-139-5p,632.1825,0.0048,0.155890,0.0311,0.975202854,0.987485042
pme-miR-22b-5p,19.7497,-0.0082,0.299843,-0.0274,0.978169145,0.987485042
pme-miR-27e-3p,11093.7056,-0.0020,0.102105,-0.0198,0.984189896,0.988073369
pme-miR-1388-5p,19795.2029,0.0025,0.133247,0.0188,0.98496622,0.988073369
pme-let-7h-1-5p,10178.7933,-0.0001,0.124443,-0.0010,0.99918411,0.99918411
