ENSPMEG00000011812,ENSPMEG00000011812.1,ENSPMET00000000006,ENSPMET00000000006.1
ENSPMEG00000011794,ENSPMEG00000011794.1,ENSPMET00000000002,ENSPMET00000000002.1
ENSPMEG00000011812,ENSPMEG00000011812.1,ENSPMET00000000009,ENSPMET00000000009.1
ENSPMEG00000011786,ENSPMEG00000011786.1,ENSPMET00000000014,ENSPMET00000000014.1
ENSPMEG00000011785,ENSPMEG00000011785.1,ENSPMET00000000022,ENSPMET00000000022.1
ENSPMEG00000011785,ENSPMEG00000011785.1,ENSPMET00000000015,ENSPMET00000000015.1
ENSPMEG00000011789,ENSPMEG00000011789.1,ENSPMET00000000010,ENSPMET00000000010.1
ENSPMEG00000012420,ENSPMEG00000012420.1,ENSPMET00000000008,ENSPMET00000000008.1
ENSPMEG00000011868,ENSPMEG00000011868.1,ENSPMET00000000004,ENSPMET00000000004.1
ENSPMEG00000011787,ENSPMEG00000011787.1,ENSPMET00000000012,ENSPMET00000000012.1
ENSPMEG00000011798,ENSPMEG00000011798.1,ENSPMET00000000003,ENSPMET00000000003.1
ENSPMEG00000011766,ENSPMEG00000011766.1,ENSPMET00000000047,ENSPMET00000000047.1
ENSPMEG00000011765,ENSPMEG00000011765.1,ENSPMET00000000042,ENSPMET00000000042.1
ENSPMEG00000011766,ENSPMEG00000011766.1,ENSPMET00000000038,ENSPMET00000000038.1
ENSPMEG00000011779,ENSPMEG00000011779.1,ENSPMET00000000026,ENSPMET00000000026.1
ENSPMEG00000011794,ENSPMEG00000011794.1,ENSPMET00000000030,ENSPMET00000000030.1
ENSPMEG00000011757,ENSPMEG00000011757.1,ENSPMET00000000050,ENSPMET00000000050.1
ENSPMEG00000011775,ENSPMEG00000011775.1,ENSPMET00000000032,ENSPMET00000000032.1
ENSPMEG00000011767,ENSPMEG00000011767.1,ENSPMET00000000037,ENSPMET00000000037.1
ENSPMEG00000011850,ENSPMEG00000011850.1,ENSPMET00000000044,ENSPMET00000000044.1
ENSPMEG00000011765,ENSPMEG00000011765.1,ENSPMET00000000040,ENSPMET00000000040.1
ENSPMEG00000011868,ENSPMEG00000011868.1,ENSPMET00000000024,ENSPMET00000000024.1
ENSPMEG00000011761,ENSPMEG00000011761.1,ENSPMET00000000043,ENSPMET00000000043.1
ENSPMEG00000011768,ENSPMEG00000011768.1,ENSPMET00000000039,ENSPMET00000000039.1
ENSPMEG00000011764,ENSPMEG00000011764.1,ENSPMET00000000065,ENSPMET00000000065.1
ENSPMEG00000011810,ENSPMEG00000011810.1,ENSPMET00000000092,ENSPMET00000000092.1
ENSPMEG00000011754,ENSPMEG00000011754.1,ENSPMET00000000088,ENSPMET00000000088.1
ENSPMEG00000011745,ENSPMEG00000011745.1,ENSPMET00000000084,ENSPMET00000000084.1
ENSPMEG00000011731,ENSPMEG00000011731.1,ENSPMET00000000093,ENSPMET00000000093.1
ENSPMEG00000011749,ENSPMEG00000011749.1,ENSPMET00000000089,ENSPMET00000000089.1
ENSPMEG00000011762,ENSPMEG00000011762.1,ENSPMET00000000079,ENSPMET00000000079.1
ENSPMEG00000011810,ENSPMEG00000011810.1,ENSPMET00000000081,ENSPMET00000000081.1
ENSPMEG00000011758,ENSPMEG00000011758.1,ENSPMET00000000086,ENSPMET00000000086.1
ENSPMEG00000011745,ENSPMEG00000011745.1,ENSPMET00000000076,ENSPMET00000000076.1
ENSPMEG00000011749,ENSPMEG00000011749.1,ENSPMET00000000095,ENSPMET00000000095.1
ENSPMEG00000011758,ENSPMEG00000011758.1,ENSPMET00000000053,ENSPMET00000000053.1
ENSPMEG00000011750,ENSPMEG00000011750.1,ENSPMET00000000068,ENSPMET00000000068.1
ENSPMEG00000011755,ENSPMEG00000011755.1,ENSPMET00000000056,ENSPMET00000000056.1
ENSPMEG00000011752,ENSPMEG00000011752.1,ENSPMET00000000057,ENSPMET00000000057.1
ENSPMEG00000011746,ENSPMEG00000011746.1,ENSPMET00000000073,ENSPMET00000000073.1
ENSPMEG00000011803,ENSPMEG00000011803.1,ENSPMET00000000097,ENSPMET00000000097.1
ENSPMEG00000011750,ENSPMEG00000011750.1,ENSPMET00000000080,ENSPMET00000000080.1
ENSPMEG00000011762,ENSPMEG00000011762.1,ENSPMET00000000070,ENSPMET00000000070.1
ENSPMEG00000011738,ENSPMEG00000011738.1,ENSPMET00000000085,ENSPMET00000000085.1
ENSPMEG00000011750,ENSPMEG00000011750.1,ENSPMET00000000059,ENSPMET00000000059.1
ENSPMEG00000011755,ENSPMEG00000011755.1,ENSPMET00000000066,ENSPMET00000000066.1
ENSPMEG00000011751,ENSPMEG00000011751.1,ENSPMET00000000058,ENSPMET00000000058.1
ENSPMEG00000011784,ENSPMEG00000011784.1,ENSPMET00000000067,ENSPMET00000000067.1
ENSPMEG00000011758,ENSPMEG00000011758.1,ENSPMET00000000069,ENSPMET00000000069.1
ENSPMEG00000011791,ENSPMEG00000011791.1,ENSPMET00000000094,ENSPMET00000000094.1
ENSPMEG00000011692,ENSPMEG00000011692.1,ENSPMET00000000156,ENSPMET00000000156.1
ENSPMEG00000011758,ENSPMEG00000011758.1,ENSPMET00000000112,ENSPMET00000000112.1
ENSPMEG00000011689,ENSPMEG00000011689.1,ENSPMET00000000164,ENSPMET00000000164.1
ENSPMEG00000011759,ENSPMEG00000011759.1,ENSPMET00000000148,ENSPMET00000000148.1
ENSPMEG00000011716,ENSPMEG00000011716.1,ENSPMET00000000120,ENSPMET00000000120.1
ENSPMEG00000011732,ENSPMEG00000011732.1,ENSPMET00000000108,ENSPMET00000000108.1
ENSPMEG00000011747,ENSPMEG00000011747.1,ENSPMET00000000104,ENSPMET00000000104.1
ENSPMEG00000011721,ENSPMEG00000011721.1,ENSPMET00000000123,ENSPMET00000000123.1
ENSPMEG00000011758,ENSPMEG00000011758.1,ENSPMET00000000130,ENSPMET00000000130.1
ENSPMEG00000011758,ENSPMEG00000011758.1,ENSPMET00000000154,ENSPMET00000000154.1
ENSPMEG00000011688,ENSPMEG00000011688.1,ENSPMET00000000167,ENSPMET00000000167.1
ENSPMEG00000011743,ENSPMEG00000011743.1,ENSPMET00000000115,ENSPMET00000000115.1
ENSPMEG00000000235,ENSPMEG00000000235.1,ENSPMET00000000122,ENSPMET00000000122.1
ENSPMEG00000011730,ENSPMEG00000011730.1,ENSPMET00000000101,ENSPMET00000000101.1
ENSPMEG00000011721,ENSPMEG00000011721.1,ENSPMET00000000110,ENSPMET00000000110.1
ENSPMEG00000011689,ENSPMEG00000011689.1,ENSPMET00000000169,ENSPMET00000000169.1
ENSPMEG00000011709,ENSPMEG00000011709.1,ENSPMET00000000149,ENSPMET00000000149.1
ENSPMEG00000011772,ENSPMEG00000011772.1,ENSPMET00000000161,ENSPMET00000000161.1
ENSPMEG00000011698,ENSPMEG00000011698.1,ENSPMET00000000141,ENSPMET00000000141.1
ENSPMEG00000011690,ENSPMEG00000011690.1,ENSPMET00000000172,ENSPMET00000000172.1
ENSPMEG00000011742,ENSPMEG00000011742.1,ENSPMET00000000133,ENSPMET00000000133.1
ENSPMEG00000011733,ENSPMEG00000011733.1,ENSPMET00000000140,ENSPMET00000000140.1
ENSPMEG00000011729,ENSPMEG00000011729.1,ENSPMET00000000124,ENSPMET00000000124.1
ENSPMEG00000012088,ENSPMEG00000012088.1,ENSPMET00000000165,ENSPMET00000000165.1
ENSPMEG00000011819,ENSPMEG00000011819.1,ENSPMET00000000136,ENSPMET00000000136.1
ENSPMEG00000011727,ENSPMEG00000011727.1,ENSPMET00000000117,ENSPMET00000000117.1
ENSPMEG00000011708,ENSPMEG00000011708.1,ENSPMET00000000137,ENSPMET00000000137.1
ENSPMEG00000011717,ENSPMEG00000011717.1,ENSPMET00000000116,ENSPMET00000000116.1
ENSPMEG00000011685,ENSPMEG00000011685.1,ENSPMET00000000174,ENSPMET00000000174.1
ENSPMEG00000011712,ENSPMEG00000011712.1,ENSPMET00000000139,ENSPMET00000000139.1
